date,date,close,high,low,open,volume,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume
2019-07-25,2019-07-25,2.83,2.91,2.71,2.8,524.0,2019-07-25,22.2,22.6,21.66,21.66,29862313.0
2019-07-26,2019-07-26,2.56,2.56,2.42,2.48,257.0,2019-07-26,21.64,21.83,21.46,21.79,18901474.0
2019-07-29,2019-07-29,2.68,2.68,2.51,2.58,576.0,2019-07-29,21.83,22.0,21.59,21.69,16615858.0
2019-07-30,2019-07-30,3.02,3.02,2.74,2.89,137.0,2019-07-30,22.34,22.47,21.94,22.26,23460651.0
2019-07-31,2019-07-31,3.5,3.5,2.84,2.91,56.0,2019-07-31,23.59,24.34,21.93,22.31,53038065.0
2019-08-01,2019-08-01,4.25,5.52,3.15,3.55,100.0,2019-08-01,25.45,26.14,22.555,23.64,109087195.0
2019-08-02,2019-08-02,5.55,5.82,5.0,5.0,382.0,2019-08-02,25.66,26.69,25.27,25.5,71310504.0
2019-08-05,2019-08-05,8.0,8.0,6.45,6.52,256.0,2019-08-05,29.3,29.625,27.28,27.47,86663392.0
2019-08-06,2019-08-06,7.32,7.7,6.83,6.86,5.0,2019-08-06,27.48,29.67,27.48,28.22,59849382.0
2019-08-07,2019-08-07,6.58,8.5,6.58,8.49,4.0,2019-08-07,27.62,30.09,27.48,29.44,54533993.0
2019-08-12,2019-08-12,6.45,6.45,6.45,6.45,1.0,2019-08-12,28.89,28.99,27.25,27.35,28752436.0
2019-08-13,2019-08-13,5.9,5.93,5.9,5.9,15.0,2019-08-13,26.76,29.4,26.71,29.35,41956617.0
2019-08-14,2019-08-14,8.65,8.65,7.04,7.04,18.0,2019-08-14,30.465,30.5,28.07,28.59,67110934.0
2019-08-15,2019-08-15,8.55,8.91,8.55,8.91,21.0,2019-08-15,29.67,31.0,29.3715,29.72,39376746.0
2019-08-16,2019-08-16,6.82,7.3,6.82,7.3,21.0,2019-08-16,28.03,29.14,27.96,29.09,27556919.0
2019-08-19,2019-08-19,5.5,5.5,5.5,5.5,4.0,2019-08-19,25.98,26.9965,25.88,26.85,28490840.0
2019-08-20,2019-08-20,5.55,5.55,5.05,5.05,4.0,2019-08-20,26.6,26.79,26.01,26.26,27521918.0
2019-08-21,2019-08-21,4.45,4.75,4.45,4.75,73.0,2019-08-21,25.3,25.73,25.25,25.53,28577472.0
2019-08-22,2019-08-22,4.85,5.2,4.4,4.45,174.0,2019-08-22,25.75,26.4599,25.075,25.09,31157200.0
2019-08-23,2019-08-23,7.4,7.4,6.57,6.57,73.0,2019-08-23,28.96,29.46,25.46,26.63,78293234.0
2019-08-26,2019-08-26,7.08,7.3,6.9,6.9,109.0,2019-08-26,28.1,28.97,27.44,27.53,32372753.0
2019-08-27,2019-08-27,7.3,7.3,6.24,6.24,44.0,2019-08-27,28.67,29.39,27.54,27.63,26681523.0
2019-08-28,2019-08-28,6.88,7.7,6.88,7.7,4.0,2019-08-28,28.02,29.75,28.0,29.33,28005357.0
2019-08-29,2019-08-29,5.31,5.6,5.31,5.6,3.0,2019-08-29,26.85,27.44,26.58,27.18,28752821.0
2019-08-30,2019-08-30,5.58,6.1,5.58,6.1,101.0,2019-08-30,27.0,27.64,26.3,26.3,28129769.0
2019-09-03,2019-09-03,6.6,6.74,6.6,6.74,201.0,2019-09-03,28.19,28.45,27.52,28.0,36077100.0
2019-09-04,2019-09-04,4.98,5.47,4.98,5.36,28.0,2019-09-04,26.45,27.59,26.43,27.09,36600867.0
2019-09-05,2019-09-05,4.15,4.4,4.02,4.4,83.0,2019-09-05,25.47,25.85,25.15,25.79,41559964.0
2019-09-06,2019-09-06,3.65,4.05,3.58,4.05,30.0,2019-09-06,24.72,25.315,24.6,25.14,30572398.0
2019-09-09,2019-09-09,3.35,3.75,3.17,3.2,66.0,2019-09-09,24.48,25.14,24.22,24.27,31222789.0
2019-09-10,2019-09-10,3.45,3.87,3.3,3.87,49.0,2019-09-10,24.4,25.18,24.34,24.82,29914315.0
