date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,20.0_close,20.0_high,20.0_low,20.0_open,20.0_volume,21.0_close,21.0_high,21.0_low,21.0_open,21.0_volume,22.0_close,22.0_high,22.0_low,22.0_open,22.0_volume,22.5_close,22.5_high,22.5_low,22.5_open,22.5_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,0.05,0.08,0.02,0.02,64.0,0.15,0.18,0.09,0.12,233.0,0.33,0.39,0.16,0.39,15864.0,,,,,,0.62,0.62,0.46,0.53,991.0,,,,,,0.96,1.0,0.74,0.75,937.0,,,,,,1.43,2.15,1.08,2.15,671.0,,,,,,1.85,1.99,1.56,1.7,981.0,,,,,,2.54,2.57,2.08,2.17,961.0,,,,,,3.1,3.28,2.68,2.74,10710.0,,,,,,3.55,3.7,3.38,3.5,123.0,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,0.05,0.06,0.03,0.03,1054.0,0.09,0.17,0.07,0.17,764.0,0.15,0.24,0.11,0.24,14611.0,,,,,,0.31,0.47,0.21,0.4,1490.0,,,,,,0.46,0.69,0.36,0.69,7572.0,,,,,,0.8,1.08,0.55,1.0,1547.0,,,,,,1.1,1.66,0.84,1.66,2013.0,,,,,,1.48,2.05,1.14,1.91,1456.0,,,,,,1.92,2.66,1.51,2.54,1705.0,,,,,,2.17,3.25,2.0,3.25,830.0,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,0.05,0.05,0.03,0.03,246.0,0.08,0.1,0.07,0.07,248.0,0.16,0.19,0.12,0.14,949.0,,,,,,0.27,0.34,0.22,0.28,3668.0,,,,,,0.45,0.55,0.37,0.42,11257.0,,,,,,0.68,0.84,0.58,0.69,4951.0,,,,,,1.1,1.18,0.87,0.91,420.0,,,,,,1.34,1.6,1.22,1.31,5391.0,,,,,,1.87,2.09,1.67,1.71,980.0,,,,,,2.4,2.67,2.17,2.29,5532.0,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,0.05,0.05,0.02,0.02,71.0,0.07,0.42,0.04,0.42,60.0,0.13,0.16,0.07,0.15,1442.0,,,,,,0.25,0.28,0.15,0.25,4655.0,,,,,,0.43,0.43,0.25,0.38,19597.0,,,,,,0.65,0.73,0.41,0.59,7937.0,,,,,,0.94,1.02,0.61,0.68,10514.0,,,,,,1.29,1.29,0.85,1.12,3581.0,,,,,,1.73,1.8,1.2,1.37,1504.0,,,,,,2.25,2.32,1.62,1.78,712.0,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,0.04,0.05,0.03,0.04,27.0,0.1,0.1,0.06,0.07,619.0,0.17,0.21,0.11,0.12,2131.0,,,,,,0.38,0.67,0.2,0.67,615.0,,,,,,0.61,0.64,0.33,0.43,5417.0,,,,,,0.99,0.99,0.53,0.63,1880.0,,,,,,1.42,1.42,0.77,0.95,1113.0,,,,,,1.87,1.91,1.05,1.28,737.0,,,,,,2.39,2.45,1.34,1.67,2641.0,,,,,,3.1,3.1,1.9,2.16,448.0,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,0.03,0.04,0.01,0.02,39.0,0.04,0.06,0.04,0.05,328.0,0.08,0.12,0.07,0.08,179.0,,,,,,0.15,0.2,0.14,0.19,625.0,,,,,,0.24,0.34,0.24,0.31,622.0,,,,,,0.4,0.55,0.39,0.48,9102.0,,,,,,0.6,0.83,0.6,0.64,3371.0,,,,,,0.84,1.17,0.84,1.02,1305.0,,,,,,1.16,1.58,1.15,1.38,4005.0,,,,,,1.58,2.01,1.58,2.0,515.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,0.03,0.03,0.03,0.03,1.0,0.05,0.06,0.05,0.06,214.0,0.09,0.11,0.09,0.11,154.0,,,,,,0.15,0.25,0.15,0.25,493.0,,,,,,0.29,0.34,0.29,0.31,922.0,,,,,,0.47,0.61,0.45,0.61,2399.0,,,,,,0.75,0.82,0.71,0.78,2831.0,,,,,,1.08,1.18,0.9,0.9,727.0,,,,,,1.47,1.6,1.37,1.4,867.0,,,,,,1.98,2.1,1.83,1.97,795.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,0.02,0.02,0.01,0.01,11.0,,,,,,0.11,0.11,0.07,0.07,7.0,,,,,,0.21,0.41,0.14,0.41,53.0,,,,,,0.38,0.38,0.22,0.24,82.0,,,,,,0.62,0.62,0.36,0.36,6231.0,,,,,,0.95,0.95,0.58,0.58,438.0,,,,,,1.33,1.37,0.86,0.87,1069.0,,,,,,1.86,1.88,1.2,1.41,5836.0,,,,,,2.38,2.38,1.68,1.68,100.0,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,0.03,0.04,0.03,0.03,105.0,0.07,0.09,0.06,0.09,5069.0,0.16,0.87,0.11,0.87,589.0,,,,,,0.27,0.32,0.24,0.24,5406.0,,,,,,0.53,0.55,0.41,0.41,588.0,,,,,,0.86,0.89,0.57,0.57,965.0,,,,,,1.26,1.31,1.03,1.03,1640.0,,,,,,1.76,4.19,1.44,4.19,3441.0,,,,,,2.32,2.41,1.92,1.92,1718.0,,,,,,2.95,3.05,2.64,2.64,180.0,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.02,0.03,0.01,0.02,41.0,0.07,0.07,0.06,0.06,7.0,0.11,0.19,0.11,0.13,1099.0,,,,,,0.24,0.33,0.17,0.21,1006.0,,,,,,0.46,0.6,0.41,0.41,468.0,,,,,,0.77,0.95,0.65,0.65,795.0,,,,,,1.15,1.4,1.01,1.01,752.0,,,,,,1.62,1.9,1.38,1.38,2386.0,,,,,,2.17,2.51,1.88,1.96,692.0,,,,,,2.8,3.13,2.7,2.74,132.0,,,,,
