date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,8.4,10.4,8.4,9.5,103.0,9.35,9.8,9.35,9.8,16.0,7.55,9.3,7.55,9.25,29.0,8.95,8.95,8.35,8.35,24.0,8.45,8.45,8.45,8.45,5.0,6.55,8.3,6.55,7.5,49.0,6.5,7.75,6.5,7.05,32.0,7.25,7.35,6.7,6.7,9.0,7.0,7.0,7.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,8.15,8.15,7.8,7.8,26.0,7.6,7.6,7.1,7.45,18.0,,,,,,5.0,7.45,5.0,6.35,80.0,6.95,6.95,6.3,6.3,26.0,5.95,5.95,5.95,5.95,56.0,4.26,4.41,4.26,4.41,14.0,5.9,5.9,5.0,5.0,22.0,5.06,5.06,5.06,5.06,10.0,,,,,,,,,,,,,,,,2.83,3.05,2.77,3.05,13.0,,,,,
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,8.6,8.6,8.6,8.6,10.0,8.45,8.45,8.45,8.45,1.0,7.8,8.2,7.8,8.2,4.0,7.45,7.45,7.45,7.45,28.0,7.3,7.3,7.3,7.3,10.0,7.0,7.0,6.85,6.85,31.0,6.6,6.6,6.44,6.44,21.0,6.64,6.65,6.15,6.15,31.0,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.3,4.5,13.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,,,,,,,,,,,6.9,6.9,6.9,6.9,29.0,,,,,,6.55,6.55,6.55,6.55,31.0,,,,,,,,,,,4.78,4.78,4.78,4.78,1.0,4.4,4.4,4.4,4.4,1.0,,,,,,,,,,,3.6,4.2,3.6,4.2,2.0,3.6,3.6,3.6,3.6,1.0
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.9,4.9,1.0,3.5,3.5,3.5,3.5,1.0,,,,,,3.05,3.25,3.05,3.25,33.0,3.23,4.1,3.23,4.1,11.0
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.2,3.5,4.2,63.0,,,,,,3.02,3.1,3.02,3.1,92.0,,,,,,2.7,3.1,2.59,3.1,70.0,2.63,2.63,2.43,2.55,46.0,2.27,2.27,2.27,2.27,10.0,2.14,2.14,2.14,2.14,1.0
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,5.75,5.85,5.75,5.85,8.0,,,,,,,,,,,,,,,,4.03,4.03,4.03,4.03,30.0,3.8,3.8,3.8,3.8,29.0,3.83,4.25,3.51,4.25,16.0,3.3,3.85,3.3,3.85,27.0,3.07,3.14,3.07,3.14,61.0,2.82,2.82,2.82,2.82,5.0,2.9,2.9,2.6,2.9,7.0,2.46,3.09,2.46,3.09,22.0,2.51,2.51,2.23,2.23,3.0,,,,,
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,6.1,6.1,6.1,6.1,2.0,,,,,,,,,,,5.1,5.1,5.1,5.1,7.0,4.65,4.65,4.65,4.65,30.0,,,,,,,,,,,3.85,3.85,3.85,3.85,27.0,,,,,,3.7,3.7,3.7,3.7,5.0,3.06,3.06,3.06,3.06,25.0,2.6,3.0,2.6,3.0,18.0,2.54,3.15,2.54,3.15,106.0,2.71,2.75,2.71,2.75,102.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,,,,,,,,,,,,,,,,,,,,,3.76,3.76,3.76,3.76,50.0,3.27,3.5,3.27,3.5,21.0,3.0,3.25,3.0,3.25,65.0,2.97,3.0,2.97,3.0,25.0,2.7,2.76,2.7,2.76,12.0,,,,,,2.29,2.43,2.23,2.43,230.0,2.0,2.15,2.0,2.15,128.0,1.88,2.16,1.85,2.16,77.0,1.8,1.8,1.8,1.8,94.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,1.0,,,,,,2.88,3.1,2.88,3.1,33.0,2.69,2.94,2.69,2.86,112.0,2.69,2.69,2.64,2.64,7.0,2.36,2.52,2.25,2.52,15.0,,,,,,2.02,2.35,2.02,2.35,230.0,,,,,,1.61,1.77,1.61,1.77,12.0,,,,,
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,,,,,,,,,,,,,,,,,,,,,4.7,4.7,4.5,4.5,15.0,,,,,,4.03,4.03,3.69,3.8,94.0,3.65,3.75,3.6,3.6,40.0,3.16,3.33,3.16,3.2,6.0,,,,,,2.87,2.99,2.53,2.53,114.0,3.0,3.0,2.38,2.6,35.0,2.67,2.86,2.31,2.31,179.0,2.48,2.48,2.2,2.2,97.0
2019-05-24,2019-05-24,28.42,28.8,27.88,28.17,24589353.0,5.27,5.27,5.27,5.27,100.0,,,,,,4.7,4.7,4.6,4.6,14.0,4.3,4.3,4.3,4.3,9.0,3.95,3.95,3.95,3.95,2.0,,,,,,3.35,3.35,3.35,3.35,1.0,3.14,3.25,3.14,3.25,34.0,2.85,3.1,2.74,2.74,21.0,,,,,,2.4,2.53,2.35,2.37,19.0,2.2,2.54,2.17,2.17,89.0,2.06,2.34,2.01,2.07,24.0,1.89,1.96,1.89,1.9,30.0
