date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-05-06,2019-05-06,26.86,28.22,26.66,27.96,43610349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,2019-05-07,31.33,32.07,28.14,28.41,85493717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,2019-05-08,30.71,31.54,29.61,30.99,44684771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,2019-05-09,30.55,33.29,30.46,32.4,60451039.0,0.36,0.36,0.36,0.36,1.0,,,,,,0.52,0.52,0.35,0.35,61.0,,,,,,0.62,0.62,0.62,0.62,10.0,,,,,,,,,,,0.85,0.99,0.85,0.99,3.0,,,,,,,,,,,1.56,1.56,1.34,1.35,23.0,1.95,1.97,1.95,1.97,2.0,2.19,2.19,2.19,2.19,20.0,2.57,2.57,2.57,2.57,20.0
2019-05-10,2019-05-10,28.19,31.6399,28.19,30.88,60955834.0,0.45,0.45,0.29,0.29,43.0,0.56,0.56,0.56,0.56,40.0,0.73,0.73,0.58,0.6,1011.0,,,,,,,,,,,0.99,0.99,0.99,0.99,1.0,,,,,,1.5,1.5,1.16,1.16,78.0,,,,,,2.05,2.05,2.05,2.05,10.0,1.83,1.83,1.83,1.83,8.0,2.78,2.78,2.78,2.78,1.0,,,,,,2.94,2.94,2.94,2.94,50.0
2019-05-13,2019-05-13,32.45,32.59,30.82,31.67,60055151.0,0.24,0.24,0.24,0.24,3.0,0.29,0.29,0.29,0.29,2.0,,,,,,0.44,0.44,0.44,0.44,20.0,0.53,0.58,0.53,0.56,6.0,0.65,0.72,0.65,0.72,21.0,0.7,0.93,0.69,0.9,169.0,,,,,,1.14,1.14,1.14,1.14,2.0,1.18,1.25,1.18,1.25,20.0,1.66,1.66,1.49,1.54,15.0,1.56,1.95,1.56,1.95,20.0,2.12,2.12,1.82,1.82,180.0,,,,,
2019-05-14,2019-05-14,30.65,31.44,30.23,31.24,36854411.0,,,,,,0.32,0.33,0.32,0.33,12.0,0.43,0.43,0.42,0.43,256.0,0.55,0.55,0.55,0.55,1.0,0.62,0.66,0.62,0.66,2.0,0.75,0.75,0.75,0.75,1.0,0.98,0.98,0.89,0.89,12.0,,,,,,,,,,,1.51,1.51,1.5,1.5,13.0,,,,,,,,,,,2.11,2.11,2.11,2.11,42.0,,,,,
2019-05-15,2019-05-15,29.36,31.7179,29.27,31.5,32088264.0,,,,,,0.38,0.38,0.38,0.38,10.0,,,,,,0.42,0.42,0.42,0.42,1.0,0.78,0.78,0.78,0.78,1.0,,,,,,1.1,1.1,0.96,0.96,29.0,1.2,1.2,0.92,0.92,5.0,,,,,,,,,,,,,,,,2.25,2.25,2.25,2.25,10.0,2.62,2.62,1.91,1.91,2.0,,,,,
2019-05-16,2019-05-16,28.1,29.1499,27.91,29.13,31128917.0,0.39,0.39,0.39,0.39,3.0,,,,,,0.67,0.69,0.65,0.69,7.0,,,,,,1.06,1.06,1.01,1.01,42.0,1.2,1.2,1.19,1.19,4.0,1.44,1.47,1.44,1.45,15.0,1.66,1.67,1.66,1.67,3.0,,,,,,2.19,2.29,2.19,2.29,4.0,2.57,2.57,2.52,2.52,3.0,2.89,2.89,2.78,2.78,2.0,,,,,,,,,,
2019-05-17,2019-05-17,28.52,29.26,27.73,29.24,43742319.0,0.39,0.46,0.39,0.44,19.0,0.5,0.5,0.5,0.5,1.0,0.61,0.75,0.61,0.72,115.0,,,,,,1.1,1.11,1.06,1.06,120.0,1.18,1.18,1.18,1.18,1.0,1.37,1.37,1.37,1.37,2.0,1.64,1.64,1.64,1.64,1.0,1.85,1.85,1.85,1.85,1.0,2.14,2.38,2.14,2.38,85.0,2.47,2.68,2.43,2.43,3.0,2.77,2.77,2.63,2.63,18.0,3.11,3.11,2.84,2.84,90.0,,,,,
2019-05-20,2019-05-20,28.94,29.8,28.4,29.31,32737337.0,0.29,0.34,0.26,0.26,342.0,,,,,,0.5,0.53,0.5,0.53,27.0,0.72,0.72,0.72,0.72,1.0,0.87,0.9,0.79,0.85,27.0,1.06,1.08,1.06,1.08,21.0,1.17,1.28,1.17,1.17,45.0,1.45,1.45,1.31,1.41,4.0,1.77,1.77,1.7,1.7,2.0,1.86,2.03,1.65,1.82,100.0,2.18,2.18,2.18,2.18,1.0,2.61,2.69,2.24,2.24,262.0,2.94,2.94,2.67,2.67,155.0,3.25,3.25,3.2,3.2,18.0
2019-05-21,2019-05-21,27.48,28.02,27.39,28.0,23455232.0,0.41,0.41,0.35,0.38,19.0,0.52,0.52,0.52,0.52,7.0,0.69,0.69,0.6,0.66,15.0,0.84,0.84,0.82,0.82,17.0,1.1,1.1,1.0,1.01,30.0,,,,,,1.5,1.5,1.44,1.45,28.0,,,,,,2.05,2.05,2.0,2.0,4.0,2.32,2.32,2.32,2.32,121.0,2.7,2.7,2.62,2.62,141.0,2.93,2.93,2.93,2.93,100.0,3.3,3.3,3.25,3.25,26.0,3.65,3.7,3.65,3.7,101.0
2019-05-22,2019-05-22,27.22,27.69,26.93,27.6,28075437.0,0.41,0.42,0.38,0.39,29.0,,,,,,0.71,0.72,0.66,0.68,12.0,,,,,,1.07,1.08,1.06,1.06,24.0,1.23,1.23,1.23,1.23,12.0,1.6,1.6,1.5,1.5,16.0,,,,,,2.08,2.08,2.08,2.08,15.0,,,,,,2.81,2.9,2.63,2.76,26.0,2.95,3.09,2.93,3.09,12.0,,,,,,,,,,
2019-05-23,2019-05-23,29.02,29.5,28.25,28.25,42745667.0,0.24,0.25,0.21,0.24,331.0,0.28,0.33,0.28,0.33,111.0,0.38,0.47,0.38,0.47,59.0,0.5,0.58,0.5,0.58,24.0,0.63,0.77,0.6,0.77,129.0,0.92,0.92,0.92,0.92,1.0,0.95,1.15,0.95,1.15,40.0,,,,,,1.44,1.44,1.44,1.44,5.0,1.7,1.88,1.7,1.88,2.0,1.98,2.3,1.89,2.3,80.0,2.25,2.48,2.25,2.46,48.0,2.6,2.64,2.58,2.64,54.0,2.86,3.1,2.86,3.1,58.0
